has_banner,has_location,has_extended_profile,has_url,followers,friends,label
1,0,0,0,14,422,0
0,0,0,0,101,501,0
0,1,0,0,18,243,0
1,1,1,1,9527,887,1
1,1,1,1,432,1154,1
1,1,1,0,16186,5242,1
1,1,0,0,77,109,1
0,1,0,0,11,207,0
1,1,0,0,188,148,1
0,1,0,0,11,236,0
0,0,0,0,8,405,0
0,0,0,0,2,490,0
1,1,1,1,18,33,1
0,1,0,0,8,268,0
0,1,1,0,4,595,0
1,0,1,0,820,588,1
0,1,0,0,9,220,0
1,1,1,1,28,32,1
0,1,1,1,17392,17414,1
0,1,0,0,8,200,0
1,1,1,0,124,112,1
0,1,0,1,285,286,1
1,1,1,1,29,16,1
0,1,0,1,359,409,1
1,1,1,0,638,649,1
1,0,0,0,28,98,1
0,1,0,0,13,282,0
0,1,0,0,11,191,0
1,1,0,0,361,670,1
0,1,0,0,19,736,0
1,0,0,0,1,7,1
1,1,0,0,572,398,1
0,1,0,0,14,239,0
0,1,0,0,16,515,0
0,1,0,0,20,250,0
1,1,1,0,2134,1594,1
0,1,1,0,55,1249,0
0,0,1,0,4,549,0
1,1,1,0,782,1243,1
0,1,0,0,16,311,0
0,0,0,0,17,581,0
1,1,1,0,850,399,1
0,1,1,0,127,225,1
0,1,0,0,9,195,0
0,0,0,0,0,25,0
1,1,1,1,92,137,1
1,0,0,0,120,124,1
1,0,1,0,32,33,1
1,1,0,0,1930,1259,1
0,0,0,0,0,28,0
0,1,0,0,18,212,0
0,1,0,0,25,527,0
1,1,1,0,6007,462,1
0,0,1,0,4,524,0
1,1,1,0,768,1557,1
1,1,1,0,320,257,1
0,1,0,0,30,579,0
1,0,1,0,149,181,1
0,0,0,0,6,130,0
0,1,0,0,13,265,0
1,1,1,0,663,500,1
0,1,0,0,10,228,0
1,1,1,1,783,870,1
0,1,0,0,17,303,0
1,0,0,0,267,342,1
1,1,1,1,13095,7672,1
0,0,0,0,3,459,0
1,0,0,0,49,117,1
1,0,0,0,1263,774,1
1,1,0,0,355,406,1
0,1,0,0,7,217,0
1,0,1,1,278,302,1
1,1,1,0,3535,2689,1
0,1,0,0,3,448,0
0,0,0,0,7,952,0
0,1,0,0,10,197,0
0,1,0,0,25,508,0
1,1,1,1,236,300,1
1,0,1,0,456,274,1
0,1,1,1,125,449,0
1,0,1,0,254,336,1
1,0,0,0,82,64,1
1,1,0,0,46,124,1
0,1,0,0,18,266,0
1,1,1,1,786,705,1
0,1,0,0,24,626,0
1,0,0,1,800,702,1
0,1,0,0,14,332,0
1,1,1,0,1532,517,1
1,1,1,1,190,252,1
1,1,1,0,57,185,1
0,1,0,0,22,595,0
0,1,0,0,12,258,0
0,1,0,0,17,641,0
0,1,0,0,22,302,0
0,0,1,0,14,413,0
1,1,1,0,82,157,1
0,1,1,1,240,146,1
0,1,0,0,21,365,0
1,0,1,1,236,223,1
1,0,0,0,947,777,1
0,1,1,0,29,181,0
0,1,0,0,2,29,0
0,1,0,0,12,286,0
0,1,0,0,15,344,0
0,0,1,0,6,571,0
1,0,1,0,184,154,1
1,1,1,0,143,569,1
1,1,1,1,1368,90,1
0,0,0,0,24,63,1
0,1,0,0,12,159,0
0,1,0,0,11,353,0
0,1,0,0,23,512,0
0,0,1,0,2,570,0
0,1,0,0,25,489,0
0,0,0,0,15,9,1
0,0,1,0,932,589,0
0,1,0,0,13,200,0
0,1,0,0,7,207,0
1,1,1,1,562,217,1
0,1,0,0,9,247,0
0,1,0,0,11,225,0
0,1,0,0,18,264,0
0,1,0,0,2,204,0
0,1,1,0,5,447,0
0,0,0,0,5,962,0
1,0,0,0,615,436,1
0,1,0,0,12,233,0
1,0,1,0,20,621,0
1,0,0,0,43,46,1
1,0,1,0,9815,2190,1
0,1,0,0,24,490,0
1,0,0,0,752,201,1
1,1,0,0,35,155,1
0,1,0,0,4,225,0
1,0,0,0,358,225,1
1,1,0,0,169,342,1
0,1,0,0,8,212,0
0,0,1,0,605,94,1
0,0,1,1,2,585,0
1,0,1,0,129,236,1
1,0,1,0,641,1066,1
0,1,0,0,22,351,0
0,1,0,0,9,220,0
0,1,0,0,10,236,0
0,1,1,0,86,650,0
0,1,0,0,16,244,0
1,1,0,1,989,931,1
0,0,0,0,8,550,0
0,1,0,0,10,199,0
1,1,1,1,54,573,0
0,0,0,0,3,527,0
0,1,0,0,9,211,0
1,1,1,1,191,267,1
0,1,0,0,2,364,0
0,1,0,0,8,219,0
0,1,0,0,1,543,0
0,0,0,0,5,557,0
0,0,0,0,7,613,0
0,1,0,0,20,618,0
0,1,0,0,17,341,0
1,1,1,0,148,203,1
0,0,0,0,14,194,0
1,1,1,0,331,261,1
1,1,0,1,133,109,1
0,1,0,0,13,232,0
0,1,1,0,689,470,1
0,0,0,0,4,531,0
0,1,0,0,19,280,0
0,1,0,1,411,831,1
1,1,1,0,5051,454,1
0,1,1,1,683,97,1
0,1,0,0,14,231,0
1,0,1,0,466,1997,1
1,1,1,1,1175,899,1
0,1,0,0,18,513,0
0,1,0,0,22,668,0
0,1,0,0,21,337,0
1,1,0,1,178,174,1
0,1,0,0,11,200,0
1,1,1,1,813,837,1
0,0,0,0,0,18,0
0,1,0,0,6,263,0
1,0,0,0,1738,1837,1
1,1,1,1,579,281,1
1,1,1,1,1202,1469,1
0,1,0,0,10,539,0
1,1,1,1,1915,1804,1
0,1,0,0,15,210,0
1,1,0,0,226,187,1
1,1,0,0,270,264,1
0,1,0,0,21,255,0
1,0,0,0,375,298,1
0,1,0,0,13,234,0
0,1,0,0,10,196,0
1,1,0,0,252,573,1
1,1,1,0,432,315,1
0,0,1,0,2,140,0
0,1,0,0,15,248,0
1,1,1,0,26,111,1
1,0,1,1,2736,2247,1
0,1,0,0,2,42,0
0,1,0,0,1,9,0
1,0,1,0,166,177,1
1,0,1,0,1216,842,1
1,1,1,1,253,110,1
0,1,0,0,3,216,0
1,1,1,1,423,427,1
1,1,1,0,1658,2002,1
0,1,0,0,20,289,0
0,1,1,0,227,338,1
0,1,0,0,0,234,0
0,1,0,0,14,261,0
1,1,0,1,53,186,1
1,0,0,0,439,587,1
1,0,1,0,338,254,1
0,1,1,1,131,791,0
1,1,0,1,254,89,1
1,1,1,1,564,1085,1
1,1,1,1,23,603,0
1,1,1,0,631,621,1
0,0,0,0,8,1002,0
1,1,0,0,93,371,1
1,1,0,0,249,61,1
0,1,0,0,42,651,0
1,1,0,1,397,496,1
1,1,0,0,545,458,1
0,1,0,0,23,531,0
0,1,0,0,12,307,0
1,1,0,0,667,1120,1
1,0,0,0,13,101,1
0,1,0,0,6,221,0
1,0,1,0,42,231,1
0,1,0,0,9,235,0
0,1,0,0,15,384,0
0,1,0,0,13,263,0
0,1,0,0,18,303,0
0,1,0,0,14,307,0
0,1,1,0,15,591,0
0,1,0,0,0,25,0
0,0,0,0,2,11,1
0,1,0,0,17,520,0
0,1,0,0,4,496,0
0,0,1,1,3,399,0
0,1,0,0,24,521,0
1,1,1,0,1957,1286,1
1,0,1,0,761,353,1
1,1,1,1,4337,471,1
1,1,1,1,1962,1094,1
1,1,1,0,143,124,1
0,1,1,0,68,832,0
1,0,1,0,151,150,1
1,1,1,1,1352,1003,1
1,1,1,0,2850,1777,1
1,1,1,0,594,1460,1
1,1,1,0,210,262,1
0,1,0,0,19,599,0
1,0,1,0,57,224,1
0,1,1,0,6,305,0
0,1,0,0,23,738,0
0,1,0,0,19,506,0
0,1,0,0,19,323,0
0,0,0,0,0,38,0
1,1,1,0,61,138,1
0,1,1,0,19,630,0
0,1,0,0,18,364,0
0,1,0,0,13,263,0
0,0,1,0,12,569,0
0,1,0,0,14,285,0
1,1,1,0,2354,1710,1
0,1,0,0,9,255,0
0,1,0,0,9,207,0
0,1,0,0,16,438,0
1,0,1,0,202,353,1
0,1,0,0,15,222,0
1,1,1,1,128,249,1
1,1,1,0,701,708,1
0,1,0,0,8,172,0
1,1,1,1,2166,1996,1
0,1,1,0,49,499,0
0,1,0,0,4,198,0
0,1,1,1,2182,798,1
0,1,0,0,23,342,0
0,1,0,0,19,377,0
1,0,0,0,257,274,1
0,1,0,0,27,962,0
1,1,1,0,267,241,1
0,1,0,0,17,667,0
1,1,0,1,77,72,1
0,1,0,0,20,528,0
1,1,1,0,338,149,1
0,0,0,0,3,597,0
1,1,1,0,15,85,1
1,1,0,1,2094,2235,1
0,0,0,0,48,440,0
0,1,0,0,13,258,0
1,1,1,1,1999,184,1
1,1,1,0,816,638,1
0,0,0,0,6,520,0
0,0,0,0,0,37,0
1,1,0,1,86,92,1
1,0,0,0,1824,758,1
1,1,0,1,189,328,1
0,1,1,1,72,992,0
1,1,1,1,303,325,1
1,1,0,0,2227,2104,1
1,1,1,1,71,318,1
0,1,0,0,10,179,0
1,1,1,0,12,15,1
1,1,1,0,1050,145,1
1,1,0,0,352,994,1
0,1,0,0,26,872,0
1,1,1,0,109,136,1
0,1,0,0,21,254,0
0,1,0,0,16,223,0
0,1,0,0,6,208,0
0,0,0,0,1,530,0
0,1,0,0,15,422,0
0,1,0,0,7,194,0
1,1,0,0,10,13,1
0,1,0,0,2,583,0
0,1,0,0,7,528,0
0,1,0,0,21,654,0
1,1,1,1,2097,888,1
1,1,1,0,157,145,1
0,1,0,0,20,259,0
1,1,1,1,28,374,1
1,1,1,1,2880,1049,1
0,0,0,0,5,369,0
1,1,1,1,2902,660,1
1,1,0,0,59,133,1
0,1,0,0,25,323,0
1,0,0,0,461,382,1
0,0,0,0,12,220,0
1,0,1,0,289,543,1
1,1,1,1,852,1754,1
1,0,1,1,248,855,1
1,1,1,0,8,43,1
0,1,0,0,5,204,0
1,1,1,0,859,1588,1
1,1,1,0,37,68,1
0,0,0,0,31,593,0
0,0,0,0,14,429,0
1,0,1,0,114,164,1
1,1,1,1,218,1042,1
1,0,0,0,947,806,1
0,1,0,0,9,622,0
0,1,0,0,11,214,0
0,1,0,0,3,54,0
0,1,0,0,9,197,0
0,0,1,0,2,559,0
0,1,0,0,0,29,0
1,1,1,1,62370,427,1
0,0,0,0,3,602,0
1,1,1,0,4,109,1
1,1,1,1,127,209,1
1,1,1,1,1414,151,1
0,1,0,0,7,250,0
1,1,1,0,386,925,1
0,1,0,0,7,321,0
1,1,1,1,158,152,1
0,1,0,0,14,179,0
1,1,1,1,424,491,1
1,0,0,0,422,819,1
0,1,0,0,17,351,0
1,1,1,1,1627,558,1
0,1,0,0,8,191,0
1,0,0,0,177,239,1
0,1,0,0,18,624,0
0,1,0,0,19,354,0
1,1,0,1,235,112,1
0,0,1,0,12,510,0
1,1,1,1,205,176,1
1,0,0,0,1022,271,1
0,0,0,0,1,404,0
1,0,1,1,91,125,1
1,0,0,0,24,148,1
0,1,0,0,12,393,0
0,1,0,0,20,388,0
0,1,0,0,20,332,0
1,1,1,1,840,1242,1
0,1,0,0,11,176,0
0,1,0,0,20,702,0
1,1,1,1,1458,1548,1
0,0,0,0,9,436,0
1,1,0,1,384,131,1
0,0,0,0,8,592,0
1,1,1,1,226,186,1
0,1,0,0,16,485,0
0,0,0,0,0,39,0
0,0,0,0,5,627,0
0,1,0,0,20,548,0
0,1,0,0,29,476,0
1,0,1,0,138,424,1
0,1,0,0,27,566,0
0,1,1,0,35,657,0
1,0,1,1,1495,1019,1
0,0,0,0,4,500,0
0,1,0,0,19,495,0
1,1,1,0,147,466,1
0,1,0,0,3,550,0
0,1,0,0,24,294,0
1,1,1,0,225,441,1
1,1,1,0,11,112,1
1,1,1,0,567,478,1
1,1,1,0,400,173,1
1,1,1,0,1667,1508,1
1,0,0,0,286,432,1
0,1,0,0,0,32,0
1,1,1,0,1024,562,1
0,1,0,0,18,247,0
1,1,1,0,341,103,1
1,0,1,0,168,364,1
1,1,1,0,348,317,1
0,1,0,0,16,277,0
1,1,1,0,164,397,1
0,1,0,0,15,394,0
1,0,0,0,351,264,1
1,0,0,0,144,185,1
1,0,0,0,15,101,1
1,1,1,1,482,479,1
1,1,1,1,68,328,1
1,1,0,0,158,182,1
1,1,1,0,224,506,1
0,1,0,0,18,267,0
0,0,0,0,4,608,0
0,0,0,0,6,550,0
1,1,1,1,453,302,1
1,1,1,1,214,186,1
0,1,0,0,7,214,0
0,1,0,0,17,308,0
0,1,0,0,6,196,0
1,1,1,0,154,152,1
1,0,0,1,358,198,1
0,1,0,0,21,614,0
1,0,1,0,151,148,1
0,1,0,0,16,384,0
0,1,0,0,18,381,0
0,0,0,0,14,582,0
1,0,0,0,275,215,1
0,1,0,0,17,200,0
1,0,1,0,235,309,1
0,1,0,0,9,187,0
1,1,1,1,176,355,1
0,0,1,0,6,355,0
1,1,1,1,988,1111,1
1,0,1,1,1693,2001,1
1,1,1,1,807,907,1
1,1,1,1,295,1216,1
0,1,1,0,64,191,1
1,0,1,1,2567,1336,1
1,1,1,1,349,342,1
0,1,0,0,21,291,0
0,1,0,0,14,236,0
0,0,1,0,13,85,1
0,1,0,0,6,393,0
1,1,1,0,63,61,1
1,1,1,1,1070,357,1
0,0,0,0,18,388,0
1,1,1,0,715,563,1
1,1,1,1,442,177,1
1,1,1,0,1645,2001,1
0,1,0,0,23,838,0
0,1,1,0,179,271,1
1,1,1,0,1035,84,1
0,0,0,0,8,609,0
1,1,1,1,233,739,1
0,1,0,0,18,390,0
1,1,1,0,168,133,1
0,1,0,0,10,361,0
0,1,0,0,3,336,0
0,0,0,0,2,325,0
0,1,0,0,2,15,0
0,1,0,0,12,327,0
1,1,1,1,6050,2914,1
0,1,0,0,20,288,0
1,0,0,0,14,30,1
0,1,0,0,21,464,0
1,1,0,0,507,238,1
1,0,0,0,40,159,1
1,1,1,0,1287,1167,1
1,0,1,0,808,635,1
1,1,1,1,1318,722,1
1,1,1,0,599,901,1
1,1,1,0,343,320,1
1,0,0,0,549,435,1
0,1,0,0,14,206,0
0,0,0,0,3,570,0
1,0,1,0,664,419,1
0,0,0,0,0,48,0
1,1,0,0,2151,531,1
1,0,1,0,45,301,1
0,1,0,0,2,578,0
0,1,0,0,6,449,0
1,1,1,0,10307,31,1
0,1,0,0,16,374,0
0,0,1,0,5,569,0
0,1,0,0,30,734,0
1,1,1,1,330,336,1
0,1,0,0,14,529,0
0,1,0,0,25,269,0
0,1,0,0,1,42,0
1,0,0,0,514,1313,1
0,1,0,0,7,205,0
0,1,0,0,15,353,0
0,0,0,0,4,578,0
0,1,0,0,15,268,0
1,1,0,0,1042,2000,1
1,1,1,0,19,119,1
0,1,0,0,13,275,0
0,0,0,0,2,587,0
1,1,1,0,106,203,1
1,1,0,0,552,737,1
1,1,1,1,467,338,1
1,1,1,0,2104,972,1
0,1,0,0,24,336,0
0,1,1,0,3,557,0
0,1,0,0,10,259,0
0,1,0,0,16,211,0
0,1,0,0,6,189,0
1,1,0,0,759,115,1
0,1,0,0,16,214,0
1,1,1,0,113,97,1
0,1,0,0,14,219,0
0,1,0,0,21,277,0
1,0,1,0,2219,2196,1
0,1,0,0,13,280,0
0,1,0,0,22,511,0
1,1,1,1,986,658,1
1,1,0,0,736,148,1
0,1,0,0,18,333,0
1,1,1,1,834,264,1
1,1,0,0,34,351,1
0,1,0,0,14,284,0
0,1,1,0,841,482,1
1,0,1,0,97,296,1
1,0,1,0,409,236,1
1,1,1,0,178,564,1
1,1,1,0,1029,765,1
1,0,1,0,10,19,1
1,1,1,1,1532,187,1
1,1,1,0,48489,46310,1
0,1,0,0,16,445,0
0,1,0,0,8,235,0
0,1,0,0,13,246,0
0,1,0,0,8,196,0
1,1,1,1,62,103,1
0,1,0,0,11,282,0
1,1,1,0,175,58,1
1,0,0,0,158,179,1
1,1,1,1,245,151,1
1,0,1,1,3178,417,1
1,0,1,0,206,207,1
1,1,1,0,914,405,1
1,1,1,0,36,125,1
0,0,0,0,4,448,0
0,1,1,0,47,547,0
1,0,0,0,504,489,1
1,1,1,1,199,99,1
0,1,0,0,23,603,0
0,1,0,0,5,202,0
0,0,0,0,372,1032,1
0,0,0,0,4,337,0
0,1,1,0,17,74,1
0,1,0,0,20,610,0
0,1,0,0,10,244,0
0,1,1,0,46,565,0
0,1,0,0,12,638,0
0,1,0,0,11,204,0
1,1,0,0,99,197,1
0,0,0,0,10,30,1
1,1,1,0,2746,2547,1
0,1,0,0,20,333,0
0,1,0,0,26,504,0
1,1,1,0,237,547,1
1,0,0,0,816,643,1
1,0,1,0,295,262,1
1,1,1,0,338,329,1
0,1,0,0,8,222,0
0,1,1,1,539,796,1
0,1,0,0,8,234,0
0,1,0,0,13,266,0
0,1,0,0,1,22,0
1,1,1,0,545,623,1
0,1,1,0,236,445,1
1,1,1,1,3863,396,1
0,1,0,0,22,517,0
0,0,0,0,5,4,1
1,1,1,0,448,400,1
1,0,1,0,150,284,1
1,1,1,0,152,92,1
0,1,0,0,12,218,0
1,1,1,0,121,208,1
1,1,1,1,7841,89,1
1,1,1,0,191,257,1
0,1,0,0,1,24,0
1,1,1,1,276,365,1
1,1,1,0,710,652,1
1,0,0,0,222,155,1
1,1,1,1,3656,238,1
0,1,0,0,17,304,0
0,1,0,0,5,208,0
0,1,0,0,16,251,0
1,1,0,0,256,516,1
1,0,1,0,859,142,1
0,1,0,0,26,550,0
1,0,1,1,498,109,1
0,1,0,0,13,330,0
0,1,0,0,20,600,0
1,1,0,0,713,932,1
0,1,0,0,10,248,0
1,1,1,1,6314,6735,1
1,1,1,0,372,289,1
1,1,1,1,2474,224,1
1,1,1,0,826,346,1
1,0,1,0,3759,1568,1
0,1,0,0,11,226,0
1,1,1,0,79,219,1
1,1,1,0,12478,1131,1
0,1,0,0,17,558,0
0,1,0,0,4,206,0
1,1,1,0,261,305,1
0,1,0,0,128,345,1
1,0,1,0,439,287,1
0,1,0,0,10,211,0
1,1,1,0,219,309,1
1,1,1,0,41,112,1
1,0,0,0,164,22,1
1,0,0,0,249,271,1
0,0,1,0,62,81,1
0,1,0,0,11,260,0
0,1,0,0,12,246,0
1,1,1,0,19,117,1
0,1,0,0,24,507,0
1,1,1,1,159,106,1
1,0,0,0,2,307,0
0,1,0,0,15,284,0
0,1,0,0,20,524,0
0,0,1,0,4,520,0
1,0,1,1,168,360,1
1,0,1,0,106,70,1
1,1,1,0,620,468,1
1,1,1,0,205,397,1
1,1,1,0,2380,957,1
1,1,1,1,798,408,1
0,1,0,0,11,370,0
0,1,0,0,15,256,0
0,1,0,0,13,183,0
0,1,0,0,14,592,0
0,1,0,0,2,38,0
0,1,0,0,24,638,0
1,0,1,0,133,1258,0
1,1,1,1,88,95,1
0,1,0,0,25,552,0
1,1,1,0,416,298,1
0,1,0,0,15,508,0
0,1,0,0,16,343,0
0,0,0,0,31,556,0
1,1,1,1,863,819,1
1,0,1,0,11,454,0
1,1,1,1,1500,464,1
0,1,0,0,11,258,0
1,1,0,0,27,154,1
1,1,0,1,749,779,1
0,1,0,0,13,209,0
0,1,1,0,25,90,1
1,1,1,1,148,134,1
0,1,0,0,27,556,0
1,0,0,0,50,86,1
0,0,0,0,4,951,0
1,1,1,0,187,366,1
0,0,1,0,235,570,1
1,0,1,0,223,166,1
1,0,1,0,1035,1454,1
1,1,1,1,1484,1307,1
1,1,1,1,2407,526,1
1,1,0,0,46,59,1
1,1,1,1,690,733,1
1,1,1,1,4913,3451,1
0,1,0,0,22,621,0
1,0,0,0,356,382,1
1,1,0,1,654,544,1
0,1,0,0,0,22,0
0,1,0,0,12,231,0
0,1,0,0,20,663,0
0,1,0,0,7,195,0
1,0,0,0,346,319,1
1,0,0,0,106,529,1
0,1,0,0,10,206,0
1,1,1,1,128,60,1
1,1,1,0,455,1678,1
1,1,1,1,1487,726,1
1,1,1,0,135,159,1
0,1,0,0,11,241,0
0,0,0,0,5,604,0
0,1,0,0,10,222,0
1,1,1,1,1446,1047,1
1,0,1,0,4520,230,1
1,1,0,0,597,1202,1
0,1,0,0,8,193,0
0,1,1,1,146,300,1
0,1,0,0,14,289,0
0,0,0,0,6,565,0
0,0,0,0,3,510,0
0,1,0,0,22,578,0
1,1,1,1,3,32,1
1,0,1,0,409,290,1
0,1,0,0,9,564,0
0,1,0,0,1,32,0
0,1,0,0,15,321,0
1,1,1,1,458,395,1
0,1,1,1,1388,1233,1
1,1,1,0,1723,750,1
0,1,0,0,23,529,0
1,1,0,1,98,154,1
0,1,0,0,7,252,0
0,1,0,0,19,368,0
1,1,1,1,1274,1085,1
0,1,0,0,16,338,0
0,1,0,0,7,209,0
0,1,0,0,2,19,0
1,1,1,0,441,534,1
1,1,1,0,25,28,1
0,1,0,0,20,537,0
1,1,1,1,510,103,1
0,1,0,0,10,237,0
0,1,0,0,15,512,0
0,1,1,1,6,422,0
1,1,1,0,248,274,1
1,1,0,0,72,49,1
0,0,1,1,2565,226,1
0,1,0,0,9,197,0
1,1,0,0,18,136,1
1,1,1,1,746,237,1
0,1,0,0,10,263,0
1,0,0,1,577,582,1
1,0,0,0,145,178,1
1,0,0,0,154,234,1
0,1,0,0,25,262,0
1,0,0,0,2970,251,1
0,1,0,0,12,273,0
0,0,1,0,78,13,1
0,1,0,0,14,204,0
0,1,0,0,14,239,0
1,0,1,0,165,142,1
0,1,0,0,19,243,0
0,1,0,0,9,205,0
0,1,0,0,8,219,0
0,1,0,0,13,239,0
1,1,1,0,465,235,1
0,1,0,0,15,209,0
0,1,1,0,11,626,0
0,0,0,0,9,578,0
0,1,0,0,5,212,0
1,0,0,0,482,316,1
0,1,0,0,21,551,0
0,1,0,0,15,343,0
0,1,0,0,12,283,0
0,0,0,0,8,441,0
1,1,1,1,4685,4647,1
0,1,0,0,2,26,0
1,1,1,0,241,273,1
1,0,0,1,500,409,1
1,0,0,0,224,213,1
1,1,1,1,344,318,1
0,1,1,1,16,524,0
1,1,1,1,771,392,1
1,1,1,1,4143,2518,1
1,1,0,0,61,52,1
0,1,0,0,24,241,0
0,1,0,0,7,210,0
0,1,0,0,54,48,1
1,1,1,0,341,265,1
1,0,1,0,92,84,1
0,1,0,0,13,223,0
1,0,1,0,34,219,1
0,1,0,0,14,256,0
1,0,0,0,244,246,1
1,1,1,1,1108,998,1
0,1,0,0,11,253,0
1,1,1,0,155,536,1
1,0,1,0,345,204,1
0,1,0,0,0,17,0
1,0,1,0,254,250,1
1,1,1,1,22452,24691,1
0,1,0,0,16,248,0
1,1,0,0,407,376,1
0,1,1,0,126,876,1
1,0,1,1,155,80,1
1,1,0,0,5,520,0
0,1,0,0,9,217,0
1,1,1,1,22513,15257,1
0,0,0,0,16,254,0
1,0,0,0,23,26,1
0,1,0,0,18,233,0
0,1,0,0,9,218,0
1,1,1,1,1110,997,1
1,1,1,0,968,799,1
0,1,0,0,22,595,0
1,1,1,1,1071,504,1
1,1,1,0,70,174,1
1,1,0,0,1800,1950,1
0,1,0,0,25,527,0
0,0,0,1,20,67,1
0,1,0,0,13,193,0
0,1,0,0,1320,150,1
1,1,1,1,533,421,1
0,0,0,0,7,555,0
1,0,0,0,299,261,1
0,1,0,0,8,234,0
1,1,1,0,295,224,1
1,1,1,1,2011,970,1
0,1,0,0,12,236,0
0,1,0,0,16,284,0
0,1,0,0,14,263,0
0,0,1,0,77,289,1
0,1,0,0,7,576,0
0,0,0,0,7,328,0
0,1,1,0,14,363,0
1,1,1,0,238,147,1
1,1,1,0,101,438,1
0,1,0,0,0,0,0
0,1,0,0,8,193,0
1,0,0,0,644,1326,1
0,1,0,0,16,559,0
0,1,0,0,28,611,0
0,1,0,0,21,338,0
0,1,0,0,7,205,0
1,1,1,1,1533,473,1
0,0,0,0,5,542,0
1,1,1,1,243,304,1
0,0,0,0,4,274,0
0,0,0,0,0,20,0
1,1,1,0,350,791,1
0,1,0,0,6,202,0
1,1,1,1,500,477,1
0,1,1,0,140,332,1
1,0,1,0,468,261,1
1,1,1,0,10483,11711,1
1,1,1,1,221,308,1
0,1,0,0,12,320,0
0,1,0,0,8,421,0
0,1,0,0,2,334,0
0,0,0,0,6,540,0
0,1,0,0,16,249,0
1,0,1,0,1136,382,1
1,1,1,1,5248,1780,1
0,1,0,0,16,267,0
1,1,1,0,497,825,1
0,1,0,0,13,220,0
0,1,0,0,3,33,0
0,1,0,0,12,260,0
1,1,1,1,392,261,1
0,1,0,0,18,272,0
1,0,1,0,171,1398,0
